Clase,Estado,Fecha de solicitud,fecha_atención,Mes,lugar,latitud,longitud,Actividad,comentario,Columna 11,Foto,Responsable,Detalle
Poda,,,25/06/2026,junio,Azotea EEGGLL,"-12,0674","-77,0802",Poda de mantenimiento,Poda de áboles,,https://drive.google.com/file/d/1bmtRrs0rRP7zbeiIR4rABUFb1sBCfDdx/view?usp=sharing,responsable,
Poda,,,25/06/2026,junio,FARES,"-12,0654","-77,0784",Poda de mantenimiento,Poda de árboles,,https://drive.google.com/file/d/1-9kcXIEM91__k3RAYPEqGPmZWXowpVgY/view?usp=sharing,responsable,
Mantenimiento de jardines,,,25/06/2026,junio,FARES,"-12,0654","-77,0783",Canteo,Canteo,,https://drive.google.com/file/d/1BM0zvYoCoHe9Q3X2kBw6Rg_gTonLw5nK/view?usp=sharing,responsable,
Propagación y plantación,,,26/06/2026,junio,Industrial,"-12,0729","-77,0822",Siembra de plantas,Siembra de frutales,,https://drive.google.com/file/d/1Qnj0-LEJhlSAdeZ_5wCSezLCA6nfeTTL/view?usp=sharing,responsable,
Propagación y plantación,,,27/06/2026,junio,Rivaguero,"-12,0692","-77,0817",Trasplante,Sacado de 1 árbol ponciana,,https://drive.google.com/file/d/1oZz-LnhPz-Bc6kgWiCIYVLUCuiZB2ptt/view?usp=sharing,responsable,
Propagación y plantación,,,27/06/2026,junio,Rivaguero,"-12,0683","-77,0815",Trasplante,Sacado de 2 huranguay,,https://drive.google.com/file/d/18EaaD7Hf8Sr14UWv0OM58tjkjtZZX9Cf/view?usp=sharing,responsable,
Mantenimiento de jardines,,,29/06/2026,junio,Arte Nuevo,"-12,0671","-77,0784",Canteo,Canteo,,https://drive.google.com/file/d/1_1SAEDF86EtdQ59wPao1XAvhX_2tVp_T/view?usp=sharing,responsable,
Propagación y plantación,,,30/06/2026,junio,Minas,"-12,0720","-77,0817",Trasplante,Sacados de Dracaenas,,https://drive.google.com/file/d/11qSvumSEvzXuNqUDo11Xnpd9uLUssOy6/view?usp=sharing,responsable,Se extrajo 15 dracenas para la posición en otra zona
Mantenimiento de jardines,,,01/07/2026,julio,CENTENARIO,"-12,0709","-77,0803",Deshierbo,Deshierbo,,https://drive.google.com/file/d/14Bvg_SkE9rAqJkl66E13adDrm6eBWpsz/view?usp=sharing,responsable,
Propagación y plantación,,,01/07/2026,julio,Jardin Central,"-12,0688","-77,0792",Siembra de plantas,"Remoción, siembra y riego de durantas, sector puerta principal.",,https://drive.google.com/file/d/1tHgXAkQWOOn_1Kv8uKYAoIs89nWzKYFa/view?usp=sharing,responsable,Se sembró más de 1000 esquejes de durantas en el jardín principal 
Propagación y plantación,,,02/07/2026,julio,Ing CIVIL,"-12,0716","-77,0820",Siembra de plantas,Se sembró 15 dracaenas extraidos de Minas,,https://drive.google.com/file/d/1TF4llrJlY2zaofP5y_MbOxhHWNJqtJ1K/view?usp=sharing,responsable,Mano de obra y 
Propagación y plantación,,,02/07/2026,julio,Minas,"-12,0721","-77,0818",Siembra de plantas,Siembra de Sakura,,https://drive.google.com/file/d/1NJnPv6sGP2qLs95jjyo5wyvELRhZNeeN/view?usp=sharing,responsable,Siembra de 10 árboles de Sakura
Mantenimiento de jardines,,,02/07/2026,julio,Cactario,"-12,0723","-77,0785",Deshierbo,Deshierbo de cactario,,https://drive.google.com/file/d/1nW1c75bSyC_kgQipgEgrb5EE2dH8XkeA/view?usp=sharing,responsable,
Propagación y plantación,,,03/07/2026,julio,Minas,"-12,0721","-77,0817",Siembra de plantas,Siembra de 17 Matas de Penicetum,,https://drive.google.com/file/d/1ir57yXAoZOEwQR3A5WSOXlfUsOWFRyG4/view?usp=sharing,responsable,"Mano de obra
Dos sacos de 25 kg de Tierra de chacra"
Mantenimiento de jardines,,,04/07/2026,julio,Rivaguero,"-12,0716","-77,0826",Traslado de macetas,TRASLADO MACETAS Rivaguero ,,https://drive.google.com/file/d/17ry96XaXUF4x0-Lie9EGK5H-qAfDsX9p/view?usp=sharing,responsable,"34 Macetas
Carritos de traslado
Mano de obra"
